Item ID,Barcode,Description,Category,RRP New,Y,New Sell Inc
22025,9310488017157,ADVIL LIQUID CAP 20,FRONT / ANALGESICS / ADULTANALG,5.20,N,5.49
15462,9310488017195,ADVIL LIQUID CAP 40,FRONT / ANALGESICS / ADULTANALG,9.99,N,9.49
13805,9310488017591,ADVIL LIQUID CAP 90,FRONT / ANALGESICS / ADULTANALG,19.99,N,16.99
27204,9310488017065,ADVIL TAB 24,FRONT / ANALGESICS / ADULTANALG,4.99,N,4.99
196366,9310160823946,ALEVE 12 HOUR TAB 24,FRONT / ANALGESICS / ADULTANALG,12.35,N,10.49
112503,9338475027606,APO IBUPROFEN 200MG TAB 48,FRONT / ANALGESICS / ADULTANALG,6.99,N,5.99
110233,9338475026029,APO IBUPROFEN GEL CAP 100,FRONT / ANALGESICS / ADULTANALG,12.99,N,13.99
110231,9338475026005,APO IBUPROFEN GEL CAP 20,FRONT / ANALGESICS / ADULTANALG,4.99,N,4.99
110232,9338475026012,APO IBUPROFEN GEL CAP 40,FRONT / ANALGESICS / ADULTANALG,6.99,N,7.99
115835,9338475026333,APO IBUPROFEN PLUS PARACETAMOL TAB 12,FRONT / ANALGESICS / ADULTANALG,4.99,N,4.99
115832,9338475098453,APO IBUPROFEN TAB 24,FRONT / ANALGESICS / ADULTANALG,3.99,N,3.59
115831,9338475098460,APO IBUPROFEN TAB 96,FRONT / ANALGESICS / ADULTANALG,12.99,N,10.99
28678,9338475017157,APO PARACETAMOL 500MG CAP 100,FRONT / ANALGESICS / ADULTANALG,4.99,N,2.79
115839,9338475017140,APO PARACETAMOL 500MG CAP 20,FRONT / ANALGESICS / ADULTANALG,1.99,N,1.99
115840,9338475023547,APO PARACETAMOL PLUS CAFFEINE TAB 20,FRONT / ANALGESICS / ADULTANALG,3.95,N,3.59
115841,9338475023851,APO PARACETAMOL PLUS CAFFEINE TAB 40,FRONT / ANALGESICS / ADULTANALG,6.95,N,7.99
115846,9338475098507,APO PERIOD PAIN RELIEF TAB 24,FRONT / ANALGESICS / ADULTANALG,8.99,N,7.99
53179,9340404001236,MAXIGESIC TAB 12,FRONT / ANALGESICS / ADULTANALG,8.99,N,7.49
60336,9351791000528,MERSYNOFEN PARACETAMOL & IBUPROFEN TAB 12,FRONT / ANALGESICS / ADULTANALG,7.99,N,5.99
21169,9326284000071,MIGRASTICK 3ML,FRONT / ANALGESICS / ADULTANALG,15.95,Y,13.99
19516,9310041901510,NAPROGESIC 275MG TAB 12,FRONT / ANALGESICS / ADULTANALG,9.63,N,8.49
16251,9310041901527,NAPROGESIC 275MG TAB 24,FRONT / ANALGESICS / ADULTANALG,14.73,N,12.99
116027,9317109036054,NERVODERM 5% DERMAL PATCH,FRONT / ANALGESICS / ADULTANALG,29.95,N,25.99
213309,9300711398818,NUROMOL DUAL ACTION LIQUID CAP 10,FRONT / ANALGESICS / ADULTANALG,8.99,N,7.99
44223,9300711032453,NUROMOL TAB 12,FRONT / ANALGESICS / ADULTANALG,8.99,N,7.99
54259,9300711336308,NUROMOL TAB 6,FRONT / ANALGESICS / ADULTANALG,5.99,N,5.99
210290,9310263003245,PAIN RELIEF NAPROXEN LIQUID 30CAPS,FRONT / ANALGESICS / ADULTANALG,24.99,N,18.49
210289,9310263003238,PAIN RELIEF NAPROXEN LIQUID CAPSULES 10CAPS,FRONT / ANALGESICS / ADULTANALG,9.99,N,7.49
37469,9319733444120,PANAMAX TABS 100,FRONT / ANALGESICS / ADULTANALG,0.00,N,2.99
21579,93288422,PONSTAN CAP 20,FRONT / ANALGESICS / ADULTANALG,10.49,N,10.49
14118,9310130175938,VOLTAREN RAPID 12.5MG LIQ CAP 20,FRONT / ANALGESICS / ADULTANALG,9.95,N,9.49
34296,9310130861817,VOLTAREN RAPID 12.5MG TAB 10,FRONT / ANALGESICS / ADULTANALG,5.95,N,5.49
25104,9310130861824,VOLTAREN RAPID 12.5MG TAB 20,FRONT / ANALGESICS / ADULTANALG,8.95,N,8.49
109757,9338475098538,APO CARDIO ASPIRIN TAB 168,FRONT / ANALGESICS / ASPRIN,11.99,N,10.99
58272,9338475098514,APO CARDIO ASPIRIN TABS 28,FRONT / ANALGESICS / ASPRIN,3.49,N,3.49
109787,9338475098521,APO CARDIO ASPIRIN TABS 84,FRONT / ANALGESICS / ASPRIN,7.99,N,7.99
17874,9334820000157,ASTRIX 100MG CAPSULES 140,FRONT / ANALGESICS / ASPRIN,13.99,N,13.49
24404,9334820000041,ASTRIX 100MG CAPSULES 28,FRONT / ANALGESICS / ASPRIN,3.99,N,3.49
31304,9334820000058,ASTRIX 100MG CAPSULES 84,FRONT / ANALGESICS / ASPRIN,9.99,N,8.49
34728,9334820000171,ASTRIX 100MG TAB 112,FRONT / ANALGESICS / ASPRIN,5.95,N,4.99
34446,9331134927576,CARTIA TAB 168,FRONT / ANALGESICS / ASPRIN,18.69,N,15.99
14956,9331134927552,CARTIA TAB 28,FRONT / ANALGESICS / ASPRIN,4.69,Y,4.49
12600,9331134927569,CARTIA TAB 84,FRONT / ANALGESICS / ASPRIN,10.99,Y,10.49
18334,9300631018261,DISPRIN DIRECT TAB 24,FRONT / ANALGESICS / ASPRIN,4.99,N,3.99
35915,9300631017974,DISPRIN MAX TAB 16,FRONT / ANALGESICS / ASPRIN,4.99,N,3.99
30204,9300631017707,DISPRIN REGULAR TAB 24,FRONT / ANALGESICS / ASPRIN,4.99,N,4.49
16615,9334820000188,MAYNE PHARMA ASPIRIN 100MG TAB 112,FRONT / ANALGESICS / ASPRIN,2.95,N,2.49
37635,9300631389460,SOLPRIN TAB 96,FRONT / ANALGESICS / ASPRIN,6.99,N,4.99
36180,9310488000265,ADVIL CHILDRENS PAIN & FEVER 2-12YRS 200ML,FRONT / ANALGESICS / CHILDANALG,13.49,N,12.99
12198,9310488000258,ADVIL CHILDRENS PAIN & FEVER 2-12YRS STRW BAN 100ML,FRONT / ANALGESICS / CHILDANALG,9.49,N,7.99
15806,9310488000289,ADVIL CHILDRENS PAIN & FEVER INFANT DROPS 40ML,FRONT / ANALGESICS / CHILDANALG,8.49,N,7.99
115848,9338475098491,APO IBUPROFEN 6M-12YRS 200ML,FRONT / ANALGESICS / CHILDANALG,12.99,N,11.69
139465,9338475023509,APO IBUPROFEN INFANT DROPS 50ML,FRONT / ANALGESICS / CHILDANALG,8.99,N,7.99
113020,9338475098415,APO PARACETAMOL 1-5YRS 200ML,FRONT / ANALGESICS / CHILDANALG,9.99,N,6.99
115849,9338475098408,APO PARACETAMOL 1M- 2YRS 20ML,FRONT / ANALGESICS / CHILDANALG,4.49,N,4.99
115850,9338475098422,APO PARACETAMOL 6-12YR 200ML,FRONT / ANALGESICS / CHILDANALG,9.99,N,8.99
33459,9331134927767,DYMADON 1MTH-2YRS ORANGE 60ML,FRONT / ANALGESICS / CHILDANALG,6.99,N,6.49
51396,9331134928733,DYMADON 1MTH-2YRS STRAWBERRY 60ML,FRONT / ANALGESICS / CHILDANALG,6.99,N,6.49
185775,9331134929884,DYMADON 2-12 YRS STRAWBERRY 100 ML,FRONT / ANALGESICS / CHILDANALG,9.95,N,8.99
15597,9331134927774,DYMADON 2-12YRS COLOUR-FREE LIQUID ORANGE 100ML,FRONT / ANALGESICS / CHILDANALG,9.95,N,8.99
12410,9331134927781,DYMADON 2-12YRS COLOUR-FREE LIQUID ORANGE 200ML,FRONT / ANALGESICS / CHILDANALG,16.95,N,13.49
51397,9331134928740,DYMADON 2-12YRS COLOUR-FREE LIQUID STRAWBERRY 200ML,FRONT / ANALGESICS / CHILDANALG,16.95,N,13.49
27473,93374231,PANAMAX 240MG ELIXIR 200ML,FRONT / ANALGESICS / CHILDANALG,6.99,N,5.99
