sku,name,price,special_price,special_price_from_date,special_price_to_date,sale_price,qty,barcode,ean
163112,L'Oreal Color Queen Nu 37 Extraordinnai,13.95,6.97,5/12/2022,5/26/2022,11.79,2,30173354,30173354
37661,Ease a Cold Cough C&F D/N 24S,17.99,12.59,5/12/2022,5/26/2022,14.99,-1,9314807008567,9314807008567
163113,L'Oreal Color Queen Nu 38 Bravery,13.95,6.97,5/12/2022,5/26/2022,11.79,1,30173361,30173361
163114,L'Oreal Color Queen Nu 39 Iconic,13.95,6.97,5/12/2022,5/26/2022,11.79,2,30173378,30173378
163115,L'Oreal Color Queen Nu 40 Extravagent,13.95,6.97,5/12/2022,5/26/2022,11.79,0,30173385,30173385
30756,Ease a Cold Cold & Cngst D/N 30S,14.49,10.14,5/12/2022,5/26/2022,12.99,0,9314807021207,9314807021207
110478,L'Oreal Colorista Effect 7 Soft Bleach,18.95,9.47,5/12/2022,5/26/2022,15.99,0,3600523458585,3600523458585
34263,Ease a Cold Kids Chewables 24S,14.49,10.14,5/12/2022,5/26/2022,12.99,15,9314807038359,9314807038359
116173,Bioglan Active Magnesium Cream 100G,19.95,11.89,5/12/2022,5/26/2022,14.49,13,9323503026218,9323503026218
26008,Bioglan Red Krill 1000Mg 30,56.95,15.99,5/12/2022,5/26/2022,20.99,10,9323503023439,9323503023439
48996,Bioglan Glucosamine Chondroitin + Turmeric 120 Tablets,51.95,30.99,5/12/2022,5/26/2022,37.49,3,9323503025259,9323503025259
110897,BIOGLAN Curcumin Double Strength 1200mg 40 Tablets,61.95,36.99,5/12/2022,5/26/2022,39.99,39,9323503026171,9323503026171
144191,Bioglan Kava 40 Capsules,31.95,18.99,5/12/2022,5/26/2022,23.49,4,9323503027093,9323503027093
48767,Nature's Way Beauty Collagen Gummies 40S,19.99,11.99,5/12/2022,5/26/2022,15.99,6,9314807052232,
48749,Nature's Way Beauty Collagen Tablets 60 Tablets,29.99,17.99,5/12/2022,5/26/2022,22.49,5,9314807052249,9314807052249
162268,Nature's Way Beauty Rosehip + Collagen 60 Tablets,29.99,17.99,5/12/2022,5/26/2022,22.49,5,9314807066260,9314807066260
