Item ID,Barcode,Description,Category,RRP New,GST,New Sell Inc
11349,3360374533205,Cacharel Anais Anais EDT 100mL,FRONT / FRAGRANCE / WOMENS,155,Y,69.99
32067,3360373000074,Cacharel Lou Lou Eau de Parfum 30mL,FRONT / FRAGRANCE / WOMENS,87,Y,24.99
135833,3605521869746,Cacharel Premier Delice 100mL,FRONT / FRAGRANCE / WOMENS,149,Y,89.99
46994,3607340213267,Calvin Klein Beauty EDP 100mL ,FRONT / FRAGRANCE / WOMENS,120,Y,49.99
119426,88300602513,Calvin Klein Contradiction Women EDP 100mL,FRONT / FRAGRANCE / WOMENS,90,Y,49.99
43185,3607349363710,Calvin Klein Downtown EDP 50mL,FRONT / FRAGRANCE / WOMENS,90,Y,39.99
46976,3607349363796,Calvin Klein Downtown EDP 90mL,FRONT / FRAGRANCE / WOMENS,120,Y,49.99
61128,88300608409,Calvin Klein Escape EDP 100mL,FRONT / FRAGRANCE / WOMENS,89,Y,32.99
167940,3614225671333,Calvin Klein Eternity Flame for Women EDP 100mL,FRONT / FRAGRANCE / WOMENS,89,Y,69.99
15915,88300101405,Calvin Klein Eternity for Women Eau de Parfum Spray 100mL,FRONT / FRAGRANCE / WOMENS,89,Y,32.99
32167,88300162505,Calvin Klein Euphoria for Women EDP 100mL,FRONT / FRAGRANCE / WOMENS,120,Y,49.99
187998,3614225097058,Calvin Klein Obsessed Intense Women EDP 50Ml,FRONT / FRAGRANCE / WOMENS,99,Y,44.99
17823,88300103409,Calvin Klein Obsession Women EDP 100mL ,FRONT / FRAGRANCE / WOMENS,89,Y,39.99
11132,31655687896,Calvin Klein Secret Obsession Edp 100mL,FRONT / FRAGRANCE / WOMENS,130,Y,49.99
118799,3607349315115,Calvin Klein Sheer Beauty Essence Edt 100mL,FRONT / FRAGRANCE / WOMENS,120,Y,
187997,3614226898579,Calvin Klein Women EDT 30mL,FRONT / FRAGRANCE / WOMENS,69,Y,
42477,8411061934524,Carolina Herrera for Women EDT 100mL,FRONT / FRAGRANCE / WOMENS,145,Y,99.99
181049,8411061818961,Carolina Herrera Good Girl Eau de Parfum 80mL,FRONT / FRAGRANCE / WOMENS,198,Y,149.99
49235,3607346232385,Chloe by Chloe EDP 75mL,FRONT / FRAGRANCE / WOMENS,185,Y,110.99
135856,3607342635838,Chloe Love Story EDP 50mL,FRONT / FRAGRANCE / WOMENS,140,Y,89.99
187563,3614223113347,Chloe Nomade EDP 75mL,FRONT / FRAGRANCE / WOMENS,185,Y,129.99
17112,3414208004284,CHOPARD WISH EDP 75ML,FRONT / FRAGRANCE / WOMENS,59,Y,39.99
173995,3348901419086,Christian Dior Joy Eau de Parfum Spray 50mL ,FRONT / FRAGRANCE / WOMENS,165,Y,149.99
198027,3348901345729,Christian Dior Poison Girl EDT 50mL,FRONT / FRAGRANCE / WOMENS,125,Y,99.99
14202,3351500920037,Chrome EDT 100mL,FRONT / FRAGRANCE / WOMENS,109,Y,59.99
48109,3614220542959,CK ETERNITY NOW WMN EDP 100ML,FRONT / FRAGRANCE / WOMENS,89,Y,44.99
142502,20714001940,Clinique Aromatics Elixir EDP 45mL,FRONT / FRAGRANCE / WOMENS,108,Y,59.99
187553,20714881436,Clinique Happy Heart EDP 50mL,FRONT / FRAGRANCE / WOMENS,79,Y,54.99
206743,3386460095365,Coach Floral EDP 30mL,FRONT / FRAGRANCE / WOMENS,81,Y,29.99
22266,31655095004,Coty Exclamation EDC 50mL ,FRONT / FRAGRANCE / WOMENS,29.99,Y,11.99
16176,3423473020998,D&G THE ONE EDP 50ML,FRONT / FRAGRANCE / WOMENS,151,Y,64.99
172059,3614228174435,Davidoff Cool Water Intense For Her EDP 100mL,FRONT / FRAGRANCE / WOMENS,59,Y,58.99
188059,3614224498092,Davidoff Cool Water Women Wave Edt 100mL,FRONT / FRAGRANCE / WOMENS,59,Y,29.99
165399,3607347462583,Davidoff Coolwater Sea Rose EDT 100mL,FRONT / FRAGRANCE / WOMENS,35,Y,29.99
16041,3414202011752,DAVIDOFF COOLWATER WMN EDT 100ML,FRONT / FRAGRANCE / WOMENS,59,Y,29.99
29111,4085400271003,Diesel Zero Plus Feminine EDT 75mL,FRONT / FRAGRANCE / WOMENS,76,Y,19.99
22066,763511009817,DKNY Be Delicious EDP 50mL,FRONT / FRAGRANCE / WOMENS,89,Y,57.99
31471,3423473020264,Dolce & Gabbana Light Blue Edt 50mL,FRONT / FRAGRANCE / WOMENS,89,Y,54.99
20167,8011003078325,Dolce & Gabbana Light Blue for Women EDT 100mL,FRONT / FRAGRANCE / WOMENS,146,Y,89.99
30930,3360372009443,Drakkar Noir By Guy Laroche EDT 50mL,FRONT / FRAGRANCE / WOMENS,87,Y,39.99
187554,3423473095750,Elie Saab Girl Of Now Shine Women Eau de Parfum 100mL,FRONT / FRAGRANCE / WOMENS,195,Y,
166148,85805043476,Elizabeth Arden 5th Avenue After Five EDP 125mL,FRONT / FRAGRANCE / WOMENS,49,Y,47.99
58096,85805542160,Elizabeth Arden Always Red EDT 100mL,FRONT / FRAGRANCE / WOMENS,69,Y,29.99
19936,85805506261,Elizabeth Arden Pretty EDP 100mL,FRONT / FRAGRANCE / WOMENS,95,Y,29.99
32675,85805085407,Elizabeth Arden Red Door Shimmer Edp 100mL,FRONT / FRAGRANCE / WOMENS,99,Y,
42606,85805757748,Elizabeth Arden Sunflowers EDT 100mL,FRONT / FRAGRANCE / WOMENS,29,Y,19.99
21376,719346450508,Elizabeth Taylor Diamond & Emeralds EDT 100mL ,FRONT / FRAGRANCE / WOMENS,69,Y,19.99
42967,719346450607,Elizabeth Taylor Diamond & Rubies EDT 100mL ,FRONT / FRAGRANCE / WOMENS,69,Y,
22359,719346010115,Elizabeth Taylor Passion EDT 74mL,FRONT / FRAGRANCE / WOMENS,75,Y,29.99
119889,737052430515,Escada Especially EDP 50mL,FRONT / FRAGRANCE / WOMENS,90,Y,39.99
156653,737052684956,Escada Especially Elixir EDP 50mL ,FRONT / FRAGRANCE / WOMENS,88,Y,39.49
198021,737052507545,Escada Island Kiss EDT 100mL,FRONT / FRAGRANCE / WOMENS,49.99,Y,59.99
38234,27131086871,Estee Lauder Beautiful Eau de Parfum Spray 75ml,FRONT / FRAGRANCE / WOMENS,130,Y,89.99
49638,27131261612,Estee Lauder Modern Muse EDP 50mL,FRONT / FRAGRANCE / WOMENS,136,Y,69.99
21177,27131043317,Estee Lauder Pleasures EDP 100mL,FRONT / FRAGRANCE / WOMENS,145,Y,123.39
22217,27131019091,Estee Lauder White Linen Eau de Parfum Spray 30mL,FRONT / FRAGRANCE / WOMENS,80,Y,68.39
45551,27131020424,Estee Lauder White Linen EDP 60mL,FRONT / FRAGRANCE / WOMENS,115,Y,69.99
10112,27131017752,Estee Lauder Youth Dew Eau de Parfum 67ml,FRONT / FRAGRANCE / WOMENS,89,Y,49.99
216709,85715672940,Fcuk Friction Night EDP 100mL ,FRONT / FRAGRANCE / WOMENS,19.99,Y,14.99
29113,870283005845,Fcuk Friction Women EDP 100mL ,FRONT / FRAGRANCE / WOMENS,39,Y,16.99
35774,715885029328,G by Giorgio Beverly Hills EDP 90mL,FRONT / FRAGRANCE / WOMENS,114,Y,29.99
42980,716393001486,Giorgio Beverly Hills Aire EDT 90mL,FRONT / FRAGRANCE / WOMENS,59,Y,19.99
135042,719346215183,Giorgio Beverly Hills Blue Eau de Toilette Spray 90mL,FRONT / FRAGRANCE / WOMENS,105,Y,14.99
11996,716393009581,Giorgio Beverly Hills EDT 90mL,FRONT / FRAGRANCE / WOMENS,59,Y,29.99
169104,10079337,Giorgio Beverly Hills Mini EDT 10mL ,FRONT / FRAGRANCE / WOMENS,9.99,Y,
42925,3274878122561,Givenchy Amarige EDT 100mL ,FRONT / FRAGRANCE / WOMENS,151,Y,99.99
154842,3600550949292,Gloria Vanderbilt Jardin New York EDP 100mL,FRONT / FRAGRANCE / WOMENS,23.99,Y,21.49
185594,8005610481043,Gucci Bloom EDP 50mL,FRONT / FRAGRANCE / WOMENS,155,Y,109.99
135966,737052338255,Gucci Guilty for Women EDT 50mL,FRONT / FRAGRANCE / WOMENS,89.99,Y,89.99
24286,8005610328768,Gucci Rush EDT 50mL,FRONT / FRAGRANCE / WOMENS,105,Y,69.99
23331,766124033507,Gucci Rush EDT 75mL,FRONT / FRAGRANCE / WOMENS,117,Y,89.99
169019,3346470132696,Guerlain Samsara Eau de Parfum Spray 50ml,FRONT / FRAGRANCE / WOMENS,151,Y,89.99
43305,3346470258273,Guerlain Samsara EDP 100mL,FRONT / FRAGRANCE / WOMENS,205,Y,109.99
61326,85715321510,Guess 1981 for Women EDT 100mL,FRONT / FRAGRANCE / WOMENS,69,Y,49.99
178848,85715322210,Guess 1981 Los Angeles for Women EDT 100mL,FRONT / FRAGRANCE / WOMENS,69,Y,29.99
111192,85715321107,Guess By Marciano EDP 100mL,FRONT / FRAGRANCE / WOMENS,49,Y,39.99
42620,85715320919,Guess Dare EDT 100mL ,FRONT / FRAGRANCE / WOMENS,49,Y,29.99
60995,85715321619,Guess Double Dare for Women EDT 100mL,FRONT / FRAGRANCE / WOMENS,69,Y,28.99
21850,3607348879014,Guess Girl Belle EDT 100mL ,FRONT / FRAGRANCE / WOMENS,69,Y,29.99
47034,85715320810,Guess Girl EDT 100mL ,FRONT / FRAGRANCE / WOMENS,69,Y,
207006,85715320544,Guess Gold Women EDP 75mL,FRONT / FRAGRANCE / WOMENS,49,Y,29.99
35716,3607341792068,Guess Ladies EDP 75mL,FRONT / FRAGRANCE / WOMENS,49,Y,39.99
